"State_Name","District_Name","Crop_Year","Season","Crop","Area","Production","Rendimiento"
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Other Kharif pulses",1642,501,0.305115712545676
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","other oilseeds",27,55,2.03703703703704
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Papaya",519,13790,26.5703275529865
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Pome Granet",160,1531,9.56875
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Potato",302,5186,17.1721854304636
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Ragi",4556,3686,0.809043020193152
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Rice",13304,44462,3.34200240529164
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Sapota",209,1748,8.36363636363636
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Sesamum",101,28,0.277227722772277
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Small millets",245,97,0.395918367346939
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Sugarcane",26147,2066986,79.0525108042988
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Sunflower",58,29,0.5
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Tomato",8139,192268,23.6230495146824
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Turmeric",17,199,11.7058823529412
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Urad",383,508,1.32637075718016
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Bajra",1,2,2
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Brinjal",785,18633,23.7363057324841
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Cabbage",161,4684,29.0931677018634
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Coriander",111,57,0.513513513513513
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Cotton(lint)",545,1278,2.34495412844037
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Cowpea(Lobia)",10,11,1.1
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Dry chillies",1693,5287,3.12285883047844
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Gram",7,7,1
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Groundnut",8830,23002,2.60498301245753
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Horse-gram",2441,1076,0.440802949610815
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Maize",984,6429,6.53353658536585
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Moong(Green Gram)",384,315,0.8203125
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Onion",199,4534,22.78391959799
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Other  Rabi pulses",26,32,1.23076923076923
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Potato",920,15799,17.1728260869565
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Ragi",552,844,1.52898550724638
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Rice",27661,87962,3.18000072303966
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Sesamum",982,703,0.715885947046843
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Sunflower",1310,1104,0.842748091603053
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Sweet potato",200,2257,11.285
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Tobacco",47,141,3
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Tomato",4998,126185,25.2470988395358
"Andhra Pradesh","CHITTOOR",2014,"Rabi       ","Urad",1749,2520,1.44082332761578
"Andhra Pradesh","CHITTOOR",2014,"Whole Year ","Coconut ",3465,29033000,8378.93217893218
"Andhra Pradesh","CHITTOOR",2014,"Whole Year ","Rice",40965,132424,3.2326132063957
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Arhar/Tur",295,156,0.528813559322034
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Bajra",94,78,0.829787234042553
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Castor seed",46,24,0.521739130434783
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Cotton(lint)",13150,19880,1.51178707224335
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Dry chillies",150,570,3.8
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Groundnut",47,66,1.40425531914894
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Jowar",183,393,2.14754098360656
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Maize",468,1727,3.69017094017094
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Mesta",32,NA,NA
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Moong(Green Gram)",401,234,0.58354114713217
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Niger seed",1,NA,NA
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Onion",808,11645,14.4121287128713
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","other oilseeds",7595,130102,17.1299539170507
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Ragi",190,135,0.710526315789474
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Rice",197445,589741,2.98686216414698
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Sesamum",110,25,0.227272727272727
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Small millets",255,157,0.615686274509804
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Soyabean",50,81,1.62
"Andhra Pradesh","EAST GODAVARI",2011,"Kharif     ","Urad",3330,1668,0.500900900900901
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Arhar/Tur",27,14,0.518518518518518
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Bajra",6,5,0.833333333333333
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Cowpea(Lobia)",98,78,0.795918367346939
